_id,Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Citation Numbers,POC Dates,All Visit Dates,Inspection Visit Dates,Inspect TypeA,Inspect TypeB,Other Visit Dates,Other TypeA,Other TypeB,Complaint Type A,Complaint Type B,Total Allegations,Inconclusive Allegations,Substantiated Allegations,Unsubstantiated Allegations,Unfounded Allegations,Latitude,Longitude
5edfda4348e5dd0bc85a84c0,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601302,ACACIA CREEK - UNION CITY,"MASONIC HOMES CAL & ACACIA CREEK"","" MASONIC SEN LIV",MARTIN HERTER,(510) 441-3700,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,376,LICENSED,5/20/2010,false,11/18/2019,2,3,true,6,"87303(e)(2)"","" 87555(b)(8)"","" 87555(b)(18)","03/18/2019"","" 03/18/2019"","" 04/08/2019","06/20/2019"","" 04/12/2019"","" 04/12/2019"","" 03/18/2019"","" 03/18/2019"","" 03/29/2018","03/18/2019"","" 03/29/2018",false,false,4/12/2019,true,2,false,false,2,false,false,false,2,37.597566,-122.005396
5edfda4348e5dd0bc85a84c1,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,216801686,ALDERSLY,"ALDERSLY/LIFE CARE SERVICES"",""LLC",GILBERT CARRASCO,(415) 453-7425,326 MISSION AVENUE,SAN RAFAEL,CA,94901,MARIN,21,122,LICENSED,11/5/2004,false,10/16/2019,3,false,true,4,"87465(h)(2)"","" 87309(a)"","" 87468(b)"","" 87303(a)"","" 87463(c)"","" 87507"","" 87458(c)","10/17/2019"","" 03/15/2018"","" 10/30/2019"","" 10/30/2019"","" 10/30/2019"","" 10/30/2019"","" 10/30/2019","10/16/2019"","" 01/11/2019"","" 03/15/2018"","" 04/04/2016","10/16/2019"","" 03/15/2018"","" 04/04/2016",false,false,1/11/2019,2,5,false,false,false,false,false,false,false,37.973126,-122.516364
5edfda4348e5dd0bc85a84c2,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803905,ARBOL RESIDENCES OF SANTA ROSA,LCS SANTA ROSA LLC; LIFE CARE SERVICES LLC,"SORIANO"","" MARIELE",(707) 566-8600,300 FOUNTAINGROVE PARKWAY,SANTA ROSA,CA,95403,SONOMA,21,158,LICENSED,5/7/2020,false,5/5/2020,false,false,2,2,false,false,"04/16/2020"","" 05/05/2020",false,false,false,"04/16/2020"","" 05/05/2020",false,false,false,false,false,false,false,false,false,38.474962,-122.722879
5edfda4348e5dd0bc85a84c3,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803785,ARBOL RESIDENCES OF SANTA ROSA,HCP SANTA ROSA CA OPCO LLC; LIFE CARE SERVICES LLC,"SORIANO"","" MARIELE",(707) 566-8600,300 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,158,LICENSED,6/1/2019,false,3/20/2019,false,false,2,2,false,false,"03/20/2019"","" 03/15/2019",false,false,false,"03/20/2019"","" 03/15/2019",false,false,false,false,false,false,false,false,false,38.474962,-122.722879
5edfda4348e5dd0bc85a84c4,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500146,ARTESIA CHRISTIAN HOME,"ARTESIA CHRISTIAN HOME"","" INC.",MICHELLE ROBISON,(562) 865-5218,11614 EAST 183RD STREET,ARTESIA,CA,90701,LOS ANGELES,28,143,LICENSED,7/1/1971,false,10/21/2019,3,3,3,9,"87468(a)(2)"","" 87465(e) "","" 87465(c)(2) "","" 87705(c)(5)"","" 87465(a)(9)(A)"","" 87303(e)(5) ","04/21/2016"","" 04/21/2016"","" 04/21/2016"","" 05/20/2016"","" 05/04/2016"","" 05/04/2016","10/21/2019"","" 06/25/2019"","" 03/12/2018"","" 02/23/2018"","" 05/19/2017"","" 09/22/2016"","" 08/19/2016"","" 04/20/2016"","" 09/23/2015","06/25/2019"","" 03/12/2018"","" 04/20/2016",3,3,"09/22/2016"","" 08/19/2016"","" 09/23/2015",false,false,false,false,14,false,false,14,false,33.864753,-118.085943
5edfda4348e5dd0bc85a84c5,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802543,ATHERTON BAPTIST HOMES,ATHERTON BAPTIST HOMES,MARY MONNIER,(626) 289-4178,214 SOUTH ATLANTIC BLVD.,ALHAMBRA,CA,91801,LOS ANGELES,28,518,LICENSED,3/31/1999,false,2/22/2019,2,3,false,5,"87465(b)(2)"","" 87465(e)"","" 87303(f)(3)"","" 87411(c)(1)"","" 87506(a)","02/25/2019"","" 02/25/2019"","" 03/01/2019"","" 03/01/2019"","" 03/01/2019","04/22/2019"","" 02/22/2019"","" 02/23/2017"","" 12/20/2016"","" 02/16/2016","02/23/2017"","" 02/22/2019",false,false,false,2,3,false,false,10,3,false,false,7,34.088633,-118.133717
5edfda4348e5dd0bc85a84c6,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700369,ATTERDAG VILLAGE OF SOLVANG,"SOLVANG LUTHERAN HOME"","" INC.",CHRIS PARKER,(805) 688-3263,636 N ATTERDAG ROAD,SOLVANG,CA,93463,SANTA BARBARA,29,188,LICENSED,5/28/1993,false,2/20/2020,3,false,4,7,"87705(e)"","" 87411(g)(1)"","" 87303(e)(2)"","" 87303(a)","04/25/2019"","" 04/25/2019"","" 04/25/2019"","" 04/25/2019","02/20/2020"","" 04/24/2019"","" 06/29/2017"","" 01/26/2017"","" 11/02/2015"","" 09/01/2015"","" 06/22/2015","02/20/2020"","" 04/24/2019"","" 06/29/2017",false,false,"01/26/2017"","" 11/02/2015"","" 09/01/2015"","" 06/22/2015",4,false,false,false,false,false,false,false,false,34.600923,-120.14005
5edfda4348e5dd0bc85a84c7,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,MATTHEW NEELEY,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,28,574,LICENSED,7/2/1976,false,4/14/2020,2,16,3,21,"87465(h)(4)"","" 87303(e)(2)"","" 87705(f)(2)"","" 87465(c)(2)"","" 87465(c)(2)"","" 87705(f)(1)"","" 87303(a)"","" 1569.625(b)(2)"","" 87303(a)","08/31/2017"","" 08/31/2017"","" 08/30/2017"","" 08/31/2017"","" 08/31/2017"","" 08/30/2017"","" 01/24/2017"","" 08/05/2019"","" 09/13/2017","07/15/2019"","" 03/04/2019"","" 03/04/2019"","" 11/19/2018"","" 10/15/2018"","" 09/06/2018"","" 08/03/2018"","" 06/06/2018"","" 05/16/2018"","" 05/16/2018"","" 05/16/2018"","" 04/19/2018"","" 01/26/2018"","" 12/28/2017"","" 11/13/2017"","" 08/30/2017"","" 08/22/2017"","" 01/24/2017"","" 01/24/2017"","" 12/18/2015"","" 07/21/2015","07/15/2019"","" 08/22/2017",false,false,"05/16/2018"","" 05/16/2018"","" 08/30/2017",6,2,false,true,19,3,true,12,3,34.105429,-117.773862
5edfda4348e5dd0bc85a84c8,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"BRITISH HOME IN CALIFORNIA LTD"","" THE","BRITISH HOME IN CALIFORNIA"","" LTD THE",MARLENE RAINEN,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,28,41,LICENSED,5/1/1976,false,3/11/2020,2,3,false,5,"87468(a)(3)"","" 87468(a)(3)","10/28/2015"","" 08/12/2015","03/11/2020"","" 05/28/2019"","" 11/15/2017"","" 10/14/2015"","" 07/29/2015","11/15/2017"","" 05/28/2019",false,false,false,false,false,true,true,6,false,2,4,false,34.158655,-118.066193
5edfda4348e5dd0bc85a84c9,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,BROOKDALE CAMARILLO,S-H OPCO CAMARILLO LLC; BKD TWENTY-ONE MANAGEMENT,"GONZAGA"","" VINCENT",(805) 388-8086,6000 SANTA ROSA RD,CAMARILLO,CA,93012,VENTURA,29,140,LICENSED,8/29/2014,false,7/12/2019,4,21,5,30,"87468.1"","" 87468(a)(2)"","" 87468(a)(1)"","" 87465(h)(2)"","" 87705(d)(f)(2)"","" 87555(b)(8)"","" 87218(2)"","" 87411(a)"","" 87303(a)  "","" 87303(a)"","" 87468(a)(2)"","" 87411(c)(1)"","" 87465(b)"","" 87465(h)(6)"","" 87411(c)(1)"","" 87303(i)(1)(A-C)"","" 87303(a)"","" 1569.33"","" 87303(a)","08/15/2019"","" 07/14/2017"","" 01/23/2017"","" 07/19/2019"","" 09/08/2017"","" 09/08/2017"","" 10/30/2018"","" 11/29/2017"","" 07/20/2017"","" 04/15/2016"","" 04/08/2016"","" 09/25/2018"","" 09/14/2018"","" 09/14/2018"","" 08/20/2019"","" 07/15/2019"","" 07/15/2019"","" 06/14/2019"","" 09/08/2017","08/15/2019"","" 08/15/2019"","" 08/06/2019"","" 07/12/2019"","" 06/20/2019"","" 06/14/2019"","" 04/05/2019"","" 03/12/2019"","" 02/13/2019"","" 10/30/2018"","" 10/23/2018"","" 10/04/2018"","" 10/04/2018"","" 09/11/2018"","" 09/07/2018"","" 06/26/2018"","" 04/05/2018"","" 11/08/2017"","" 11/08/2017"","" 08/29/2017"","" 07/06/2017"","" 07/06/2017"","" 06/09/2017"","" 01/20/2017"","" 01/20/2017"","" 01/11/2017"","" 04/06/2016"","" 04/06/2016"","" 04/06/2016"","" 12/10/2015","07/12/2019"","" 09/11/2018"","" 09/07/2018"","" 08/29/2017",false,3,"08/06/2019"","" 06/14/2019"","" 04/05/2019"","" 02/13/2019"","" 01/11/2017",3,5,3,5,37,6,8,20,3,34.226535,-118.985894
